w [t],x1,x2,x3,x4,x5
17.88383065,0.524,-0.884,-0.308,0.028,-1.1
17.89622551,1.14,-0.588,0.556,-0.74,1.172
18.05621877,-0.284,-1.86,-1.772,-1.836,-0.684
18.06030482,-0.356,1.068,-0.996,-0.332,-1.508
18.0771136,-0.196,1.948,-0.812,-0.604,1.324
18.10748705,0.972,-0.724,0.22,0.244,-1.604
18.18461147,0.908,0.46,0.124,-0.204,1.948
18.19177961,0.148,-1.22,-0.532,-0.372,0.964
18.19913516,0.292,-0.732,-0.436,-0.268,-1.988
18.26763898,-0.324,1.54,-0.884,1.356,-0.148
18.26820968,0.652,-0.3,-0.156,1.452,0.692
18.27106516,-1.74,-0.652,-1.22,-1.06,-0.004
18.28024048,-1.86,1.66,-0.796,-0.764,0.492
18.28315929,-0.5,1.26,-1.364,0.924,1.732
18.37397572,-1.724,0.02,-1.324,-0.748,0.516
18.39054288,1.468,-0.044,1.428,0.492,-1.948
18.39539895,0.58,0.756,-0.204,0.004,-1.428
18.44176791,1.492,-1.516,1.628,-0.092,1.252
18.45251483,1.508,-1.46,1.796,0.66,0.252
18.50323424,1.02,-0.916,0.404,-0.972,-0.836
18.52092288,-0.388,-1.012,-1.836,1.596,-1.34
18.56489666,-1.82,-1.356,-1.988,-1.324,-1.172
18.60465474,0.66,0.372,-0.108,-0.188,1.668
18.62062605,-0.62,0.332,-1.156,0.948,-0.964
18.63257924,-0.532,-0.364,-1.58,1.788,-0.18
18.65440833,-1.796,-1.748,-0.844,-0.956,-1.124
18.69465931,-0.436,-0.5,-1.844,-0.9,-1.908
18.72409485,-0.468,0.316,-1.796,1.268,-1.796
18.7472132,-0.492,-0.86,-0.908,1.908,-1.636
18.77141603,-1.716,0.804,-0.964,-1.66,0.148
18.80229702,-0.572,-0.012,-1.62,-0.396,0.324
18.81677445,1.196,1.956,0.868,1.22,-0.316
18.85610784,-0.58,-1.188,-1.644,-1.46,0.196
18.8764678,-1.612,1.156,-1.196,1.852,1.5
18.93632029,-1.596,0.092,-1.188,-1.772,1.212
18.9433165,-1.66,-0.74,-1.556,0.708,1.316
18.95307218,-0.748,-0.404,-1.388,1.612,-1.14
18.97629229,-1.58,0.636,-1.308,1.444,1.268
19.01055227,-0.804,-1.156,-1.212,1.46,0.42
19.01343942,-1.572,-0.668,-1.332,-0.34,1.804
19.03035597,-1.932,0.244,-0.516,-0.476,-1.028
19.07356661,1.46,-0.092,1.732,-0.62,-0.396
19.09738234,1.364,0.86,1.26,0.148,1.156
19.10297192,-0.38,-0.38,-0.748,1.228,-0.516
19.11155492,-1.684,-1.116,-1.764,1.116,1.22
19.12243372,-1.524,1.964,-1.252,0.932,-0.212
19.12781231,-1.62,-0.756,-1.572,-1.868,0.084
19.13952121,-0.844,-1.404,-1.14,-0.916,1.332
19.15295243,1.044,-0.516,0.612,1.292,-0.54
19.17290619,1.436,-0.036,1.548,1.396,0.188
19.19909376,-1.764,-1.772,-0.78,1.348,0.676
19.21308319,1.428,-1.876,1.508,1.748,0.892
19.27368398,-0.908,1.988,-1.404,-1.852,0.172
19.28491277,-1.46,0.084,-1.34,-1.716,-0.82
19.30932866,1.068,-0.444,0.7,-0.852,-1.228
19.34123116,-1.516,0.068,-1.5,-1.572,0.796
19.4029421,-1.388,-1.9,-1.356,1.572,0.284
19.41770808,-1.076,0.732,-1.18,-0.716,-0.324
19.43711252,-0.06,0.908,-0.508,1.628,1.684
19.43904701,-1.548,1.764,-1.628,-1.308,1.564
19.44620963,-1.164,1.748,-1.228,1.516,0.684
19.47208454,-0.46,0.132,-0.732,1.78,-1.324
19.49633418,-1.284,1.108,-1.372,-1.684,0.116
19.54134112,-1.396,-0.028,-1.052,-0.708,1.292
19.56665522,0.276,-0.34,-0.3,0.18,0.828
19.58393683,-1.348,0.62,-1.484,1.892,-0.356
19.598959,-1.244,-0.524,-1.076,1.484,-0.3
19.61214111,-1.252,1.588,-1.468,0.516,-1.388
19.61629238,-1.452,1.036,-0.98,-0.132,0.708
19.62978445,-1.316,-1.884,-1.044,1.732,0.956
19.63427459,-1.444,-0.572,-1.604,-0.82,-1.348
19.68320401,-0.9,-1.604,-1.724,-0.276,1.708
19.69470492,-1.124,1.468,-1.012,0.74,-0.412
19.76546428,-1.588,0.484,-1.924,-0.54,-1.316
19.80275771,0.916,-0.26,0.46,-1.428,-0.036
19.80288953,-0.924,-0.508,-0.9,-0.14,1.06
19.80973747,0.9,0.5,0.428,0.724,0.988
19.82925896,-1.868,-0.324,-0.54,1.1,-1.364
19.88285869,-0.892,-1.348,-1.86,1.772,-1.452
19.88884824,-1.556,-1.492,-0.836,1.812,1.916
